actual_accuracy,predicted_accuracy
0.47989012440697054,0.476763516664505
0.5000904621322643,0.47689855098724365
0.5254801672544311,0.48159369826316833
0.5000100513480292,0.49336010217666626
0.4826657323699356,0.4958769679069519
0.4999712818627733,0.49757739901542664
0.5056833193571733,0.4981909692287445
0.5,0.4984477460384369
0.5001033852940162,0.4984768331050873
0.5093032405546046,0.49862805008888245
0.5,0.4988156259059906
0.4999813332108025,0.4989366829395294
0.5,0.4990638792514801
0.5000732312499282,0.4991316497325897
0.5,0.49924764037132263
0.5000014359068613,0.49954596161842346
0.5,0.49955350160598755
0.5,0.4996017515659332
0.4989417366431944,0.49971702694892883
0.5001981551468646,0.4997326135635376
0.5075715368798317,0.4997539222240448
0.5,0.499782919883728
0.5,0.4998106360435486
0.4950260186323274,0.4998640716075897
0.5,0.4998732805252075
0.5,0.4999009966850281
0.5,0.4999365210533142
0.5,0.49998754262924194
0.4999784613970799,0.5000050067901611
0.5,0.5000231266021729
0.5,0.5000503063201904
0.5,0.5001165866851807
0.5,0.5001612901687622
0.4998305629903622,0.5001643300056458
0.5,0.5002052187919617
0.5,0.5002205967903137
0.5,0.5002205967903137
0.5000373335783947,0.5002418756484985
0.5,0.5002455115318298
0.5,0.5002635717391968
0.5,0.5002796649932861
0.5,0.5002952814102173
0.5000617439950377,0.5003097653388977
0.5,0.5003114938735962
0.5,0.5003474354743958
0.5,0.5003567337989807
0.4994098422799904,0.5003591775894165
0.5,0.500359833240509
0.5,0.5003952383995056
0.49943856041721724,0.500400722026825
0.4999784613970799,0.5004226565361023
0.5063122465624391,0.5004467368125916
0.5,0.5004554390907288
0.5,0.5004606246948242
0.5,0.5004824995994568
0.49971999816203916,0.5004968643188477
0.4999842050245251,0.500518262386322
0.5,0.5005258917808533
0.49835875845749145,0.500556230545044
0.5,0.5005567073822021
0.5,0.5005574822425842
0.49448611765246464,0.5005743503570557
0.5001033852940163,0.5005811452865601
0.5,0.500586211681366
0.5,0.5005883574485779
0.49998707683824795,0.5005947947502136
0.49998707683824795,0.5005993843078613
0.5,0.5006014704704285
0.5,0.5006217956542969
0.5,0.500652551651001
0.5,0.5006603598594666
0.5,0.5006607174873352
0.5,0.5007040500640869
0.5,0.5007047653198242
0.4999985640931386,0.5007262229919434
0.5,0.5007392168045044
0.5,0.5008292198181152
0.5,0.5008335709571838
0.5,0.5008352398872375
0.5,0.5008371472358704
0.5,0.5008424520492554
0.4999913845588321,0.5008553266525269
0.5,0.500892698764801
0.5,0.5008976459503174
0.5065778893317865,0.5008979439735413
0.499685536397367,0.5009270906448364
0.4996783568630604,0.5009313225746155
0.5,0.5009779334068298
0.5,0.5009827017784119
0.500004307720584,0.5009884238243103
0.5,0.5009896755218506
0.5,0.5009901523590088
0.515434562852515,0.5010113716125488
0.4999928204656934,0.5010250210762024
0.5,0.5010425448417664
0.4999755895833574,0.5010507106781006
0.5001421547792724,0.5010519623756409
0.5049955199705927,0.5010538697242737
0.5,0.5010600090026855
0.499995692279416,0.5010649561882019
0.5,0.5010837912559509
0.499995692279416,0.5011084079742432
0.4865182704789036,0.5011101961135864
0.5035007409279403,0.5011125206947327
